BOTTLE,20170607CCHSIOCBG
# Merged parameters: TRITUM, TRITER, TRITUM_FLAG_W, PH_TOT, PH_TMP
# Merged parameters: HELIUM, HELIER, HELIUM_FLAG_W, DELHE3, DELHER, DELHE3_FLAG_W, NEON, NEONER, NEON_FLAG_W, LDEO_SAMPNO
# Merged parameters: ABSORBTION, ABSORBTION_FLAG_W, IMAGE_COUNT, IMAGE_COUNT_FLAG_W, CYTO_COUNT, CYTO_COUNT_FLAG_W
# 20141003CCHSIOCBG
# Merged parameters: TRITUM, TRITUM_FLAG_W, TRITER
# 20141003CCHSIOCBG
# Merged parameters: TRITUM, TRITUM_FLAG_W, HELIUM, HELIUM_FLAG_W, DELHE3, DELHE3_FLAG_W, TRITER, NEON, NEON_FLAG_W, NEONER, HELIER, DELHER, THETA
# BOTTLE,20140918PRINUNIVRMK
# 9/18/14 Merged He, Ne, and H3 data from Jenkins
# 20140129CCHSIOSE
# Merged parameters: DELC13, DELC13_FLAG_W, DELC14, DELC14_FLAG_W, C14ERR, CDOM325, CDOM325_FLAG_W, CDOM340, CDOM340_FLAG_W, CDOM380, CDOM380_FLAG_W, CDOM412, CDOM412_FLAG_W, CDOM443, CDOM490, CDOM490_FLAG_W, CDOM555, CDOM555_FLAG_W, CDOMSL, CDOMSL_FLAG_W, CDOMSN, CDOMSN_FLAG_W
# 20131122CCHSIOCBG
# Merged parameters: PH_TOT, PH_TOT_FLAG_W, PH_TMP
# 20121025CCHDOSIOCBG
# merged ALKALI, DOC, TDN
# BOTTLE,20120208CCHDOSIOCBG
# merged TCARBN received from Alex Kozyr 2012-02-03
# BOTTLE,20120207CCHDOSIOCBG
# removed ABSORBTION, IMAGE_COUNT, CYTO_COUNT, contained no data 
# BOTTLE,20110422ODF
# REPORTED DEPTH IS CTD_DEPTH + DISTANCE_ABOVE_BOTTOM AT MAX PRESSURE
#
# BOTTLE,20160128PRINUNIVRMK
# 10/1/2014 Initialized README file 
# Hydro: Who - J.Swift; Status - final 
#       Notes:   
# Nutrients: Who - J.Swift; Status - final 
#       Notes: 
# O2: Who - J.Swift; Status - final 
#       Notes: 
# TCO2: Who - C.Sabine;R.Wanninkhof; Status - final 
#       Notes: final data from CDIAC Dec. 2011 
# TA: Who - A.Dickson; Status - final 
#       Notes: final data from CDIAC Dec. 2011 
# pH: Who - F.Millero; Status - final 
#       Notes: final data rcd  and merged Dec. 2012 
#       Reported on total H+ scale at 25C 
# CFC: Who - W.Smethie;W.Ho; Status - final 
#       Notes: final data Feb. 2012 
#       Includes SF6 
# C14: Who - R.Key;A.McNichol; Status - final 
#       Notes: Final data Jan. 2014 
# H3/He3: Who - W.Jenkins;P.Schlosser; Status - incomplete 
#       Notes: final WHOI data 10/1/14 
#              final LDEO data 4/14/15 except for He3 
#              final LDEO He3 data 7/8/15 
#              revised WHOI H3 data 12/18/15 
#              revised WHOI H3 data 1/28/16 
#       Uncertainty on 3H data exceptionally large on station 104:129 due to 
#               unusual contamination issue from bottle caps 
# DOC/TDN: Who - D.Hansell; Status - 
#       Notes: final data from CDIAC Dec. 2011 
#
#| CITATION:
#| These data were provided by:
#|
#| PARAMETER/PROGRAM         Affiliation  PI               email
#| ------------------------  -----------  --------------- -----------------------------
#| Chief Scientist           SIO          Jim Swift        jswift@ucsd.edu
#| Co-Chief Scientist        TAMU         Alex Orsi        aorsi@tamu.edu
#| CTD                       SIO          Jim Swift        jswift@ucsd.edu
#| salinity                  SIO          Jim Swift        jswift@ucsd.edu
#| dissolved oxygen          SIO          Jim Swift        jswift@ucsd.edu
#| nutrients                 SIO          Jim Swift        jswift@ucsd.edu
#| Total Carbon (DIC)        PMEL         Chris Sabine     chris.sabine@ noaa.gov
#|                           AOML         Rik Wanninkhof   Rik.Wanninkhof@noaa.gov
#| Total Alkalinity/pH       SIO          Andrew Dickson   adickson@ucsd.edu
#| CFC/SF6                   LDEO         Bill Smethie     bsmeth@ldeo.columbia.edu
#|                           UHawaii      David Ho         ho@hawaii.edu
#| Helium/Tritium            LDEO         Peter Schlosser  schlosser@ldeo.columbia.edu
#| DOC/TDN                   RSMAS        Dennis Hansell   dhansell@rsmas.miami.edu
#| DELC13/DELC14             WHOI         Ann McNichol     amcnichol@whoi.edu
#|                           WHOI         Robert Key       key@princeton.edu
#| CDOM (preliminary flags)  UCSB         N.B. Nelson      norm@icess.ucsb.edu
#|
#| CDOM DATA:  Absorption Coefficient of 0.2um filtered SW (acdom) at 325 nm
#|             Determined using a 200cm liquid waveguide spectrometer system
#|             Using UltraPath 2,    calibration 10 (Sep 2010) *not applied*
#|
#| Following American Geophysical Union
#| recommendations, the data should be cited as: data
#| provider(s), cruise name or cruise ID, data file name(s)
#| CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA
#| USA, and data file date. For further information, please
#| contact one of the parties listed above or cchdo@ucsd.edu.
#| Users are also requested to acknowledge the NSF/NOAA-funded
#| U.S. Repeat Hydrography Program in publications resulting
#| from their use.
#
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,DELO18,DELO18_FLAG_W,POC,POC_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,BTL_LAT,BTL_LON,NEONER,SALTREF,SALTREF_FLAG_W,PIGMENTS,PIGMENTS_FLAG_W,LAB_DEN,LAB_DEN_FLAG_W,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOM443,CDOM443_FLAG_W,CDOM490,CDOM490_FLAG_W,CDOM555,CDOM555_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,HELIER,DELHER,THETA,LDEO_SAMPNO,ABSORBTION,ABSORBTION_FLAG_W,IMAGE_COUNT,IMAGE_COUNT_FLAG_W,CYTO_COUNT,CYTO_COUNT_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,TU,,TU,NMOL/KG,,PERCNT,,DEG C,,/MILLE,,/MILLE,,/MILLE,NMOL/KG,,/MILLE,,UG/KG,,UMOL/KG,,UMOL/KG,,,,NMO/KG,G/KG,,,,,,1/M,,1/M,,1/M,,1/M,,1/M,,1/M,,1/M,,1/NM,,1/NM,,NMOL/KG,PERCNT,DEG C,,,,,,,
320620110219,       S04P,       2,          1,          9,          9,2,20110222,       2154,   -70.6545,   168.0806,        202,     2.6,  -1.3243,  34.1588,2,  34.1574,2,   -999.0,9,  -999.0,5,   70.95,2,   28.06,2,    0.10,2,    1.91,2,   5.034,2,   2.743,2,   0.508,2,   2.3200,2,  2196.9,2,  2311.6,2,-999.0000,5,    25.00,   0.055,2,   0.004,    2.232,4,  -0.521,3,  -1.3222,2, -999.00,9,  -999.0,9,  -999.0,   9.825,4, -999.00,1,-999.000,9,   44.67,2,   30.86,2, -70.6545, 168.0806,      0.009,    34.3185,2,     -999.0,9,     -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,    0.000,   0.203,  -1.3244,50000201009,     -999.0,9,     -999.0,9,     -999.0,9
320620110219,       S04P,       2,          1,          8,          8,2,20110222,       2151,   -70.6545,   168.0806,        202,    20.6,  -1.1807,  34.2476,2,  34.2479,2,    320.2,2,   320.2,2,   71.54,2,   28.47,2,    0.10,2,    1.94,2,   5.099,2,   2.733,2,   0.507,2,   2.3450,2,  2206.1,2,  2318.9,2,-999.0000,5,    25.00,   0.060,2,   0.005,    2.016,2,  -0.683,2,  -1.1821,2, -999.00,9,  -999.0,9,  -999.0,   9.067,2, -999.00,1,-999.000,9,   44.63,2,   30.83,2, -70.6545, 168.0806,      0.008,    34.4094,2,     -999.0,9,     -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,    0.000,   0.200,  -1.1812,50000201008,     -999.0,9,     -999.0,9,     -999.0,9
320620110219,       S04P,       2,          1,          7,          7,2,20110222,       2148,   -70.6545,   168.0806,        202,    40.0,  -1.1574,  34.2639,2,  34.2555,2,    319.5,2,   319.7,2,   71.72,2,   28.85,2,    0.10,2,    1.95,2,   5.126,2,   2.769,2,   0.510,2,   2.3570,2,  2206.3,2,  2313.7,2,-999.0000,5,    25.00,   0.052,2,   0.004,    2.044,2,  -0.340,2,  -1.1558,2, -999.00,9,  -999.0,9,  -999.0,   9.156,2, -999.00,1,-999.000,9,   44.61,2,   31.17,2, -70.6545, 168.0806,      0.008,    34.4171,2,     -999.0,9,     -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,    0.000,   0.201,  -1.1584,50000201007,     -999.0,9,     -999.0,9,     -999.0,9
320620110219,       S04P,       2,          1,          6,          6,2,20110222,       2146,   -70.6545,   168.0806,        202,    65.4,  -1.1472,  34.2731,2,  34.2921,3,    316.5,2,   318.5,2,   72.03,2,   28.59,2,    0.10,2,    1.97,2,   5.027,2,   2.700,2,   0.491,2,   2.1850,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,   0.055,2,   0.004,-999.0000,9,-999.000,9,  -1.1475,2, -999.00,9,  -999.0,9,  -999.0,-999.000,9, -999.00,1,-999.000,9,   44.26,2,   32.05,2, -70.6545, 168.0806,     -999.0,    34.4539,3,     -999.0,9,     -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,-999.000,  -1.1488,     -999.0,     -999.0,9,     -999.0,9,     -999.0,9
320620110219,       S04P,       2,          1,          5,          5,2,20110222,       2144,   -70.6545,   168.0806,        202,    89.6,  -1.1023,  34.2851,2,  34.2859,2,    315.2,2,   315.4,2,   71.46,2,   28.53,2,    0.09,2,    1.96,2,   5.094,2,   2.719,2,   0.489,2,   2.1980,2,  2209.6,2,  2301.8,4,-999.0000,5,    25.00,   0.053,2,   0.004,    2.076,2,  -0.283,2,  -1.1031,2, -999.00,9,  -999.0,9,  -999.0,   9.285,2, -999.00,1,-999.000,9,   44.07,2,   32.16,2, -70.6545, 168.0806,      0.008,    34.4475,2,     -999.0,9,     -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,    0.000,   0.190,  -1.1046,50000201005,     -999.0,9,     -999.0,9,     -999.0,9
320620110219,       S04P,       2,          1,          4,          4,2,20110222,       2141,   -70.6545,   168.0806,        202,   114.8,  -1.0252,  34.3106,2,  34.3062,2,   -999.0,9,  -999.0,5,   71.41,2,   28.68,2,    0.09,2,    1.97,2,   5.142,2,   2.774,2,   0.495,2,   2.2320,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,-999.000,9,-999.000,-999.0000,9,-999.000,9,  -1.0248,2, -999.00,9,  -999.0,9,  -999.0,-999.000,9, -999.00,1,-999.000,9,   43.82,2,   32.40,2, -70.6545, 168.0806,     -999.0,    34.4680,2,     -999.0,9,     -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,-999.000,  -1.0283,     -999.0,     -999.0,9,     -999.0,9,     -999.0,9
320620110219,       S04P,       2,          1,          3,          3,2,20110222,       2139,   -70.6545,   168.0806,        202,   139.5,  -1.0243,  34.3684,2,-999.0000,5,   -999.0,9,  -999.0,5,   74.13,2,   29.24,2,    0.08,2,    2.02,2,   4.558,2,   2.461,2,   0.451,2,   1.9400,2,  2217.9,2,  2326.5,2,-999.0000,5,    25.00,   0.043,2,   0.004,    2.138,2,   0.785,2,  -1.0209,2, -999.00,9,  -999.0,9,  -999.0,   9.462,2, -999.00,1,-999.000,9,   43.68,2,   32.33,2, -70.6545, 168.0806,      0.008,     -999.0,5,     -999.0,9,     -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,    0.000,   0.190,  -1.0281,50000201003,     -999.0,9,     -999.0,9,     -999.0,9
320620110219,       S04P,       2,          1,          2,          2,2,20110222,       2137,   -70.6545,   168.0806,        202,   165.0,  -1.0095,  34.4002,2,  34.3950,2,    293.3,2,   293.5,2,   75.71,2,   29.40,2,    0.08,2,    2.04,2,   4.274,2,   2.344,2,   0.431,2,   1.8970,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,   0.044,2,   0.004,    2.004,2,   1.604,2,  -1.0106,2, -999.00,9,  -999.0,9,  -999.0,   8.997,2, -999.00,1,-999.000,9,   42.97,2,   32.40,2, -70.6545, 168.0806,      0.008,    34.5572,2,     -999.0,9,     -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,    0.000,   0.202,  -1.0140,50000201002,     -999.0,9,     -999.0,9,     -999.0,9
320620110219,       S04P,       2,          1,          1,          1,2,20110222,       2133,   -70.6545,   168.0806,        202,   189.8,  -1.0247,  34.4045,2,  34.4046,2,    289.4,2,   289.6,2,   76.17,2,   29.46,2,    0.08,2,    2.04,2,   4.260,2,   2.320,2,   0.422,2,   1.8560,2,  2222.6,6,  2326.7,6,-999.0000,5,    25.00,   0.042,2,   0.004,-999.0000,9,-999.000,9,  -1.0248,2, -999.00,9,  -999.0,9,  -999.0,-999.000,9, -999.00,1,-999.000,9,   42.72,2,   32.40,2, -70.6545, 168.0806,     -999.0,    34.5668,2,     -999.0,9,     -999.0,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,-999.000,  -1.0300,     -999.0,     -999.0,9,     -999.0,9,     -999.0,9
