BOTTLE,20150626SIOCCHRJL
# From 33RR20090320.exc.csv (Bob Key) submitted on 20150420
# Merged parameters: TRITUM, TRITUM_FLAG_W, HELIUM_FLAG_W
# 20150310CCHSIOCBG
# Merged parameters: HELIUM, HELIER, HELIUM_FLAG_W, DELHE3, DELHER, DELHE3_FLAG_W, NEON, NEONER, NEON_FLAG_W
# station 69, cast 1, bottle 15 changed SALNTY value to -999
# 20140120CCHSIOCBG
# Merged parameters: DELC14, C14ERR, DELC14_FLAG_W, DELC13, DELC13_FLAG_W
# 20140111SIOCCHRJL
# Added citation instructions for data use
#BOTTLE,20121205CCHDOSIOCBG
#code : Justin Fields merge_exchange.rb original files copied from HTML directory: 2012-12-05
# merged PH_TOT with quality flags
#BOTTLE,20120308CCHDOSIOCBG
#code : Justin Fields merge_exchange.rb original files copied from HTML directory: 2012-03-08
# CFC-11, CFC-12 and SF6 values and flags update
#BOTTLE,20111208CCHDOSIOCBG
#code : Justin Fields merge_exchange.rb original files copied from HTML directory: 2011-12-08
#BOTTLE,20100510CCHDOSIODBK
#code : Justin Fields merge_exchange.rb original files copied from HTML directory: 2010-05-10
#BOTTLE,20100112CCHDOSIODBK
#code : Justin Fields merge_exchange.rb original files copied from HTML directory: 2010-01-12
# --------------------------------------------------------------------------------
#| These data were provided by:
#| PARAMETER                PRINCIPAL INVESTIGATOR-       EMAIL ADDRESS
#|                          INSTITUTION
#| -----------------------  ---------------------------- --------------------------
#| CTDO/S/O2/Nutrients      Jim Swift-UCSD/SIO           jswift@ucsd.edu
#| 
#| Transmissometer          Wilf Gardner-TAMU           wgardner@ocean.tamu.edu"
#|
#| CDOM fluorometer         Norm Nelson-UCSB             norm@icess.ucsb.edu
#|                          Craig Carlson-UCSB          carlson@lifesci.ucsb.edu
#|
#| CO2-Alkalinity + pH      Andrew Dickson-UCSD/SIO      adickson@ucsd.edu
#|
#| CO2-DIC + Underway pCO2  Dick Feely-NOAA             Richard.A.Feely@pmel.noaa.gov
#|                          Rik Wannikhof-AOML/NOAA     Rik.Wanninkhof@noaa.gov
#|
#| DOC/TDN                  Dennis Hansell-RSMAS-UMiami dhansell@rsmas.miami.edu
#|
#| C-13/C-14                Ann McNichol-WHOI            amcnichol@whoi.edu
#|                          Robert Key-Princeton         key@princeton.edu
#|
#| CFCs                     John Bullister-NOAA/PMEL    John.L.Bullister@noaa.gov
#|                          Mark Warner-UWashington     mwarner@ocean.washington.edu
#|
#| He-3/Tritium             Peter Schlosser-LDEO        schlosser@ldeo.columbia.edu
#|
#| ADCP/LADCP               Eric Firing-UHawaii         firing@hawaii.edu
#|
#| Trace Elements           Chris Measures-UHawaii      chrism@soest.hawaii.edu
#|                          Bill Landing- FSU           landing@ocean.fsu.edu
#|
#| ARGO Floats              Steve Riser-UWashington     riser@ocean.washington.edu
#| --------------------------------------------------------------------------------
#|
#|
#|  Following American Geophysical Union recommendations, the data should be
#|  cited as: "data provider(s), cruise name or cruise ID, data file name(s),
#|  CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
#|  file date." For further information, please contact one of the parties
#|  listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
#|  the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
#|  from their use.
#|
#|
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,BTL_LAT,BTL_LON,HELIER,DELHER
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,TU,,NMOL/KG,,PERCNT,,DEG C,,/MILLE,,/MILLE,,/MILLE,NMOL/KG,,NMOL/KG,UMOL/KG,,UMOL/KG,,,,NMOL/KG,PERCNT
33RR20090320,        I05,       1,          1,         12,         12,2,20090324,       0405,   -31.0777,    30.3437,        271,     7.9,  26.1509,  35.4696,2,  35.4702,2,    202.5,2,   202.8,2,    1.45,2,    0.00,2,    0.00,2,    0.06,2,   1.650,2,   1.008,2,   0.9880,2,  1994.8,6,  2322.5,2,   8.1727,2,    20.00,-999.000,9,-999.000,9,-999.000,9,  26.1489,2,-999.000,9, -999.00,9, -999.00,-999.000,9,-999.000, -999.00,9, -999.00,9, -31.0987,  30.3307,-999.000,-999.000
33RR20090320,        I05,       1,          1,         11,         11,2,20090324,       0403,   -31.0777,    30.3437,        271,    22.7,  25.6997,  35.4611,2,  35.4627,2,    202.9,2,   203.2,2,    1.58,2,    0.11,2,    0.01,2,    0.06,2,   1.688,6,   1.027,6,   0.9390,6,  1998.7,2,  2324.0,2,   8.1671,2,    20.00,-999.000,9,-999.000,9,-999.000,9,  25.7288,2,-999.000,9, -999.00,9, -999.00,-999.000,9,-999.000, -999.00,9, -999.00,9, -31.0965,  30.3320,-999.000,-999.000
33RR20090320,        I05,       1,          1,         10,         10,2,20090324,       0401,   -31.0777,    30.3437,        271,    42.5,  24.1989,  35.4395,2,  35.4424,2,    205.6,2,   204.9,2,    1.90,2,    0.55,2,    0.03,2,    0.12,2,   1.794,2,   1.080,2,   1.0340,2,  2011.2,2,  2322.7,2,   8.1429,2,    20.00,-999.000,9,-999.000,9,-999.000,9,  24.1495,2,-999.000,9, -999.00,9, -999.00,-999.000,9,-999.000, -999.00,9, -999.00,9, -31.0945,  30.3332,-999.000,-999.000
33RR20090320,        I05,       1,          1,          9,          9,2,20090324,       0359,   -31.0777,    30.3437,        271,    67.0,  22.0869,  35.3907,2,  35.3928,2,    195.6,2,   195.4,2,    3.21,2,    2.29,2,    0.08,2,    0.29,2,   1.921,2,   1.132,2,  -0.1570,4,  2042.4,2,  2320.3,2,   8.0886,2,    20.00,-999.000,9,-999.000,9,-999.000,9,  22.0777,2,-999.000,9, -999.00,9, -999.00,-999.000,9,-999.000, -999.00,9, -999.00,9, -31.0925,  30.3343,-999.000,-999.000
33RR20090320,        I05,       1,          1,          8,          8,2,20090324,       0356,   -31.0777,    30.3437,        271,    92.1,  20.3491,  35.3729,2,  35.3739,2,    183.9,2,   184.0,2,    4.91,2,    4.78,2,    0.12,2,    0.45,2,   0.011,4,   0.024,4,   0.0060,4,  2064.8,2,  2318.1,2,   8.0394,2,    20.00,-999.000,9,-999.000,9,-999.000,9,  20.3540,2,-999.000,9, -999.00,9, -999.00,-999.000,9,-999.000, -999.00,9, -999.00,9, -31.0904,  30.3355,-999.000,-999.000
33RR20090320,        I05,       1,          1,          7,          7,2,20090324,       0354,   -31.0777,    30.3437,        271,   116.3,  16.4982,  35.3256,2,  35.3257,2,    172.6,2,   172.9,2,    7.59,2,    9.60,2,    0.05,2,    0.75,2,   2.339,2,   1.336,2,   0.8710,2,  2111.1,2,  2318.3,2,   7.9505,2,    20.00,-999.000,9,-999.000,9,-999.000,9,  16.5074,2,-999.000,9, -999.00,9, -999.00,-999.000,9,-999.000, -999.00,9, -999.00,9, -31.0883,  30.3366,-999.000,-999.000
33RR20090320,        I05,       1,          1,          6,          6,2,20090324,       0352,   -31.0777,    30.3437,        271,   141.9,  15.2142,  35.2946,2,  35.2948,2,    174.4,2,   173.9,2,    8.31,2,   10.97,2,    0.03,2,    0.82,2,   2.451,2,   1.373,2,   0.8610,2,  2122.8,2,  2317.0,2,   7.9242,2,    20.00,-999.000,9,-999.000,9,-999.000,9,  15.2095,2,-999.000,9, -999.00,9, -999.00,-999.000,9,-999.000, -999.00,9, -999.00,9, -31.0861,  30.3380,-999.000,-999.000
33RR20090320,        I05,       1,          1,          5,          5,4,20090324,       0349,   -31.0777,    30.3437,        271,   166.6,  14.0458,  35.2329,2,-999.0000,9,   -999.0,5,  -999.0,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  2317.1,4,-999.0000,9,  -999.00,-999.000,9,-999.000,9,-999.000,9,  14.0360,2,-999.000,9, -999.00,9, -999.00,-999.000,9,-999.000, -999.00,9, -999.00,9, -31.0836,  30.3396,-999.000,-999.000
33RR20090320,        I05,       1,          1,          4,          4,2,20090324,       0347,   -31.0777,    30.3437,        271,   192.9,  12.4254,  35.1123,2,  35.1113,2,    185.4,2,   186.6,2,   10.21,2,   14.35,2,    0.01,2,    1.04,2,   2.584,2,   1.404,2,   0.7540,2,  2138.7,2,  2311.1,2,   7.8778,2,    20.00,-999.000,9,-999.000,9,-999.000,9,  12.4344,2,-999.000,9, -999.00,9, -999.00,-999.000,9,-999.000, -999.00,9, -999.00,9, -31.0815,  30.3410,-999.000,-999.000
